# timestamp x y z q0 q1 q2 q3
32.600000000 11.616844 -1.156818 -0.008642 0.005643 -0.004173 0.745347 -0.666640
32.650000000 11.600474 -1.199468 -0.008666 0.005640 -0.004165 0.750958 -0.660313
32.700000000 11.584025 -1.242113 -0.008693 0.005633 -0.004161 0.756420 -0.654048
32.750000000 11.567496 -1.284750 -0.008723 0.005623 -0.004159 0.761735 -0.647851
32.800000000 11.550888 -1.327381 -0.008756 0.005609 -0.004160 0.766905 -0.641723
32.850000000 11.534199 -1.370004 -0.008791 0.005593 -0.004162 0.771930 -0.635669
32.900000000 11.517431 -1.412617 -0.008828 0.005574 -0.004167 0.776815 -0.629690
32.950000000 11.500583 -1.455221 -0.008867 0.005552 -0.004174 0.781563 -0.623788
33.000000000 11.483656 -1.497815 -0.008909 0.005528 -0.004182 0.786174 -0.617966
33.050000000 11.466652 -1.540398 -0.008952 0.005502 -0.004191 0.790654 -0.612224
33.100000000 11.449569 -1.582968 -0.008997 0.005475 -0.004202 0.795004 -0.606564
33.150000000 11.432410 -1.625527 -0.009043 0.005446 -0.004214 0.799228 -0.600988
33.200000000 11.415175 -1.668072 -0.009090 0.005415 -0.004227 0.803328 -0.595497
33.250000000 11.397864 -1.710603 -0.009139 0.005384 -0.004241 0.807307 -0.590091
33.300000000 11.380478 -1.753120 -0.009189 0.005351 -0.004255 0.811168 -0.584773
33.350000000 11.363018 -1.795621 -0.009240 0.005318 -0.004270 0.814914 -0.579542
33.400000000 11.345484 -1.838107 -0.009292 0.005284 -0.004285 0.818547 -0.574400
33.450000000 11.327878 -1.880577 -0.009344 0.005250 -0.004301 0.822069 -0.569347
33.500000000 11.310200 -1.923030 -0.009397 0.005216 -0.004317 0.825484 -0.564385
33.550000000 11.292450 -1.965466 -0.009451 0.005181 -0.004333 0.828794 -0.559513
33.600000000 11.274629 -2.007884 -0.009506 0.005146 -0.004349 0.832001 -0.554734
33.650000000 11.256739 -2.050283 -0.009560 0.005112 -0.004365 0.835107 -0.550046
33.700000000 11.238747 -2.092735 -0.009616 0.005077 -0.004382 0.838115 -0.545452
33.750000000 11.220399 -2.135812 -0.009674 0.005045 -0.004396 0.841027 -0.540952
33.800000000 11.201629 -2.179634 -0.009736 0.005016 -0.004409 0.843839 -0.536555
33.850000000 11.182426 -2.224196 -0.009802 0.004989 -0.004421 0.846552 -0.532264
33.900000000 11.162780 -2.269492 -0.009871 0.004965 -0.004431 0.849164 -0.528087
33.950000000 11.142680 -2.315518 -0.009944 0.004943 -0.004440 0.851674 -0.524030
34.000000000 11.122117 -2.362267 -0.010021 0.004923 -0.004448 0.854080 -0.520099
34.050000000 11.101080 -2.409733 -0.010102 0.004905 -0.004455 0.856381 -0.516302
34.100000000 11.079559 -2.457911 -0.010187 0.004889 -0.004461 0.858575 -0.512645
34.150000000 11.057546 -2.506796 -0.010276 0.004874 -0.004467 0.860660 -0.509137
34.200000000 11.035030 -2.556381 -0.010370 0.004862 -0.004472 0.862635 -0.505784
34.250000000 11.012002 -2.606661 -0.010468 0.004850 -0.004476 0.864497 -0.502595
34.300000000 10.988453 -2.657629 -0.010570 0.004840 -0.004480 0.866244 -0.499578
34.350000000 10.964374 -2.709281 -0.010677 0.004831 -0.004484 0.867873 -0.496742
34.400000000 10.939756 -2.761609 -0.010789 0.004823 -0.004488 0.869382 -0.494097
34.450000000 10.914591 -2.814607 -0.010905 0.004816 -0.004492 0.870767 -0.491652
34.500000000 10.888869 -2.868271 -0.011026 0.004809 -0.004496 0.872025 -0.489418
34.550000000 10.862582 -2.922592 -0.011153 0.004802 -0.004501 0.873151 -0.487405
34.600000000 10.835722 -2.977566 -0.011284 0.004796 -0.004506 0.874143 -0.485624
34.650000000 10.808280 -3.033185 -0.011421 0.004789 -0.004512 0.874994 -0.484089
34.700000000 10.780248 -3.089442 -0.011563 0.004783 -0.004519 0.875699 -0.482812
34.750000000 10.751618 -3.146332 -0.011710 0.004775 -0.004527 0.876253 -0.481806
34.800000000 10.722382 -3.203847 -0.011863 0.004767 -0.004536 0.876649 -0.481086
34.850000000 10.692532 -3.261980 -0.012021 0.004758 -0.004546 0.876878 -0.480667
34.900000000 10.662059 -3.320722 -0.012185 0.004748 -0.004558 0.876934 -0.480566
34.950000000 10.630957 -3.380068 -0.012354 0.004737 -0.004572 0.876805 -0.480801
35.000000000 10.599216 -3.440007 -0.012530 0.004724 -0.004587 0.876482 -0.481389
35.050000000 10.566829 -3.500531 -0.012711 0.004709 -0.004605 0.875953 -0.482352
35.100000000 10.533788 -3.561631 -0.012899 0.004691 -0.004625 0.875204 -0.483710
35.150000000 10.500085 -3.623296 -0.013092 0.004672 -0.004647 0.874220 -0.485486
35.200000000 10.465712 -3.685515 -0.013291 0.004649 -0.004672 0.872984 -0.487704
35.250000000 10.430676 -3.748287 -0.013497 0.004624 -0.004699 0.871494 -0.490363
35.300000000 10.395007 -3.811629 -0.013707 0.004596 -0.004729 0.869772 -0.493410
35.350000000 10.358739 -3.875561 -0.013922 0.004566 -0.004761 0.867845 -0.496791
35.400000000 10.321902 -3.940104 -0.014142 0.004533 -0.004795 0.865738 -0.500453
35.450000000 10.284526 -4.005278 -0.014365 0.004498 -0.004831 0.863475 -0.504348
35.500000000 10.246641 -4.071105 -0.014591 0.004461 -0.004868 0.861078 -0.508430
35.550000000 10.208273 -4.137606 -0.014819 0.004423 -0.004906 0.858570 -0.512654
35.600000000 10.169449 -4.204799 -0.015049 0.004383 -0.004945 0.855972 -0.516980
35.650000000 10.130194 -4.272704 -0.015281 0.004342 -0.004984 0.853304 -0.521372
35.700000000 10.090533 -4.341339 -0.015513 0.004301 -0.005024 0.850585 -0.525795
